family,n,p,load,giant_fraction,component_fraction,susceptibility,spanning_probability,relief_exhaustion,agreement,terrynce_score,terrynce_gradient,giant_gradient
square_bond,16,0.35,0.35,0.11181640625,0.362060546875,6.384199397251075,0.0,0.637939453125,0.712060546875,0.15898803055286406,nan,nan
square_bond,16,0.36,0.36,0.114501953125,0.34521484375,6.573739609109169,0.0,0.65478515625,0.70521484375,0.1662351161956787,0.7298900386691101,0.8300781249999992
square_bond,16,0.37,0.37,0.12841796875,0.3236083984375,7.267744901602582,0.03125,0.6763916015625,0.6936083984375,0.17358583132624628,0.734036753773689,2.282714843749998
square_bond,16,0.38,0.38,0.16015625,0.3123779296875,8.02158859905331,0.03125,0.6876220703125,0.6923779296875,0.1809158512711525,0.739348875582218,2.0507812499999982
square_bond,16,0.39,0.39,0.16943359375,0.30078125,8.383146642014884,0.03125,0.69921875,0.69078125,0.18837280883789065,0.7459356349706646,1.141357421874999
square_bond,16,0.4,0.4,0.1829833984375,0.2796630859375,9.787160914747476,0.03125,0.7203369140625,0.6796630859375,0.1958345639705658,0.7523875415325135,0.9826660156250019
square_bond,16,0.41,0.41,0.1890869140625,0.265380859375,9.540835828899592,0.0625,0.734619140625,0.6753808593749999,0.2034205596685409,0.7759425634145724,0.8728027343750017
square_bond,16,0.42,0.42,0.200439453125,0.2603759765625,10.337155412488562,0.03125,0.7396240234375,0.6803759765624999,0.21135341523885723,0.7662651693820959,3.1372070312499973
square_bond,16,0.43,0.43,0.2518310546875,0.23486328125,12.237481201493342,0.1875,0.76513671875,0.6648632812499999,0.21874586305618282,0.7067011636495598,5.047607421874996
square_bond,16,0.44,0.44,0.3013916015625,0.2030029296875,15.151910428444195,0.375,0.7969970703125,0.6430029296875,0.22548743851184844,0.8155845594406123,-0.3051757812499997
square_bond,16,0.45,0.45,0.2457275390625,0.2177734375,15.951983153477261,0.15625,0.7822265625,0.6677734375,0.23505755424499508,0.8548663580417635,3.308105468749997
